"Frame"	"Average_mean_Ch1"	"Average_mean_Ch2"	"Average_mean_Ch3"	"Time"	"Time_offset"
3	418.671279801832	584.472521622632	273.975673548125	6	-27
4	425.792084342513	597.136106031027	272.907929240531	9	-24
5	421.50050914888	591.88595935226	272.983426287453	12	-21
6	406.737730289606	574.280226730383	272.883975417716	15	-18
7	400.27385024324	567.606357511818	276.002421797228	18	-15
8	409.516524711759	588.775055747718	273.248147136114	21	-12
9	411.528727329052	597.385038933063	274.371168963316	24	-9
10	416.067657594979	612.197402991452	272.647988560032	27	-6
11	411.207428552622	604.527847498453	276.50858450551	30	-3
12	443.057482655176	664.104454274225	271.028551702967	33	0
13	434.865650298286	672.531960371787	273.599245332459	36	3
14	518.226470427319	785.066200776894	274.848170629398	39	6
15	638.662176593646	894.22624076032	272.388619426782	42	9
16	643.124743825805	921.907403933359	270.458311037595	45	12
17	615.240871581536	900.604918173949	268.964232365262	48	15
18	605.776513814758	922.854212711672	268.648545929646	51	18
19	587.209772013137	919.019084448023	266.922496069833	54	21
20	571.396350498338	909.032489244595	267.083749740725	57	24
21	556.425849878162	914.01830800463	267.318129538691	60	27
22	535.350814871493	887.736310309504	267.248111448999	63	30
23	538.093599790222	944.418857813799	266.928749291106	66	33
24	517.73329277187	919.029966321132	264.916014118728	69	36
25	510.541170985138	940.509330749048	265.304828407601	72	39
26	508.004306754148	979.465773101693	265.628670336059	75	42
