"Frame"	"Average_mean_Ch1"	"Average_mean_Ch2"	"Average_mean_Ch3"	"Time"	"Time_offset"
3	NA	NA	NA	6	-27
4	NA	NA	NA	9	-24
5	NA	NA	NA	12	-21
6	NA	NA	NA	15	-18
7	NA	NA	NA	18	-15
8	NA	NA	NA	21	-12
9	NA	NA	NA	24	-9
10	NA	NA	NA	27	-6
11	NA	NA	NA	30	-3
12	NA	NA	NA	33	0
13	NA	NA	NA	36	3
14	534.137	921.961	324.294	39	6
15	572.037	1021.937	325.8945	42	9
16	631.994333333333	1219.98033333333	317.943666666667	45	12
17	648.27	1374.262	350.54	48	15
18	646.674	1416.716	288.621	51	18
19	705.329	1581.038	281.367	54	21
20	678.303	1543.868	277.105	57	24
21	652.269	1508.577	263.019	60	27
22	NA	NA	NA	63	30
23	NA	NA	NA	66	33
24	NA	NA	NA	69	36
25	NA	NA	NA	72	39
26	NA	NA	NA	75	42
