"Frame"	"Average_mean_Ch1"	"Average_mean_Ch2"	"Average_mean_Ch3"	"Time"	"Time_offset"
3	NA	NA	NA	6	-27
4	NA	NA	NA	9	-24
5	NA	NA	NA	12	-21
6	NA	NA	NA	15	-18
7	NA	NA	NA	18	-15
8	NA	NA	NA	21	-12
9	NA	NA	NA	24	-9
10	NA	NA	NA	27	-6
11	NA	NA	NA	30	-3
12	NA	NA	NA	33	0
13	NA	NA	NA	36	3
14	534.411764705882	943	276.558823529412	39	6
15	562.823308270677	1024.89285714286	274.642857142857	42	9
16	629.806126879656	1237.19645550528	270.191873485991	45	12
17	657.883720930233	1464.18604651163	272.883720930233	48	15
18	631.131578947368	1405.10526315789	263.684210526316	51	18
19	647.527777777778	1486.94444444444	258.777777777778	54	21
20	631.9	1435.175	260.6	57	24
21	643.733333333333	1527.43333333333	255.7	60	27
22	NA	NA	NA	63	30
23	NA	NA	NA	66	33
24	NA	NA	NA	69	36
25	NA	NA	NA	72	39
26	NA	NA	NA	75	42
