"Frame"	"Average_mean_Ch1"	"Average_mean_Ch2"	"Average_mean_Ch3"	"Time"	"Time_offset"
1	246.744444444444	510.718390804598	210.959003831418	0	-27
2	246.053976034858	495.593246187364	214.9651416122	3	-24
3	244.419630156472	473.77934810872	221.626340262164	6	-21
4	248.814285714286	431.332258064516	219.771889400922	9	-18
5	244.604910714286	339.966517857143	223.683035714286	12	-15
6	247.012454212454	442.749084249084	217.939194139194	15	-12
7	247.675	380.8	221.425	18	-9
8	248.97619047619	399.58021978022	219.917582417582	21	-6
9	246.597368421053	461.158552631579	226.056578947368	24	-3
10	261.472222222222	424.083333333333	211.527777777778	27	0
11	260.608990147783	500.40578817734	212.67118226601	30	3
12	362.026645768025	529.584117032393	220.163009404389	33	6
13	299.524725274725	618.68956043956	220.186813186813	36	9
14	294.383272058824	654.358455882353	225.415441176471	39	12
15	283.225	625.2875	237.4	42	15
16	294.759072580645	658.168346774194	269.922379032258	45	18
17	295.172413793103	629.448275862069	298.689655172414	48	21
18	298.379310344828	648.137931034483	301.586206896552	51	24
19	286	689.592592592593	251.592592592593	54	27
20	292.214285714286	676.428571428571	288.857142857143	57	30
21	274.121212121212	662.212121212121	238.515151515152	60	33
22	261.352941176471	714.941176470588	226.617647058824	63	36
23	255.652777777778	763.095588235294	238.673202614379	66	39
24	255.178968253968	800.006349206349	223.14246031746	69	42
25	254.53936896835	856.63298752897	223.437700033109	72	45
26	NA	NA	NA	75	48
27	NA	NA	NA	78	51
28	NA	NA	NA	81	54
29	NA	NA	NA	84	57
30	NA	NA	NA	87	60
31	NA	NA	NA	90	63
32	NA	NA	NA	93	66
