"Frame"	"Average_mean_Ch1"	"Average_mean_Ch2"	"Average_mean_Ch3"	"Time"	"Time_offset"
1	NA	NA	NA	0	-27
2	NA	NA	NA	3	-24
3	NA	NA	NA	6	-21
4	NA	NA	NA	9	-18
5	NA	NA	NA	12	-15
6	NA	NA	NA	15	-12
7	NA	NA	NA	18	-9
8	NA	NA	NA	21	-6
9	NA	NA	NA	24	-3
10	NA	NA	NA	27	0
11	273.826	497.203	319.515	30	3
12	425.3975	769.603	345.388	33	6
13	243.713333333333	802.291333333333	303.467	36	9
14	310.492666666667	754.050666666667	318.542666666667	39	12
15	347.967333333333	808.381666666667	309.614666666667	42	15
16	287.1792	704.4338	286.2952	45	18
17	304.582666666667	778.766	293.388	48	21
18	282.70175	788.29825	269.4805	51	24
19	293.287666666667	816.023666666667	284.602666666667	54	27
20	294.896	791.571666666667	291.451666666667	57	30
21	288.935333333333	760.751666666667	277.415333333333	60	33
22	289.641	805.849333333333	283.419	63	36
23	287.96375	825.56525	277.3485	66	39
24	286.46675	861.36125	277.8455	69	42
25	283.78875	951.5085	277.8805	72	45
26	269.6128	908.2672	278.101	75	48
27	281.064142857143	1036.908	284.001857142857	78	51
28	283.52375	901.564	280.3725	81	54
29	274.73725	675.993	280.69225	84	57
30	289.587333333333	566.475	300.927333333333	87	60
31	290.551	707.154	310.813666666667	90	63
32	288.132	876.887	309.414333333333	93	66
