"Frame"	"Average_mean_Ch1_ratio"	"Average_mean_Ch2_ratio"	"Average_mean_Ch3_ratio"	"Time"	"Time_offset"
1	NA	NA	NA	0	-78
2	NA	NA	NA	3	-75
3	NA	NA	NA	6	-72
4	NA	NA	NA	9	-69
5	NA	NA	NA	12	-66
6	NA	NA	NA	15	-63
7	NA	NA	NA	18	-60
8	NA	NA	NA	21	-57
9	NA	NA	NA	24	-54
10	NA	NA	NA	27	-51
11	NA	NA	NA	30	-48
12	NA	NA	NA	33	-45
13	NA	NA	NA	36	-42
14	NA	NA	NA	39	-39
15	NA	NA	NA	42	-36
16	NA	NA	NA	45	-33
17	NA	NA	NA	48	-30
18	NA	NA	NA	51	-27
19	NA	NA	NA	54	-24
20	NA	NA	NA	57	-21
21	NA	NA	NA	60	-18
22	NA	NA	NA	63	-15
23	NA	NA	NA	66	-12
24	NA	NA	NA	69	-9
25	NA	NA	NA	72	-6
26	NA	NA	NA	75	-3
27	NA	NA	NA	78	0
28	NA	NA	NA	81	3
29	1.21556517202935	1.14561405730819	1.18593213726156	84	6
30	1.25931918042085	1.1673296011979	1.17645362169523	87	9
31	1.15311829526557	1.09748820092935	1.17971410539439	90	12
32	1.18403791349436	1.09636028871292	1.18482469521776	93	15
33	1.2088843941113	1.21556973140854	1.19445739738001	96	18
34	1.22399399667592	1.3555816964496	1.21660161608333	99	21
35	1.20622565725479	1.3287550354153	1.22927744676234	102	24
36	1.24094659942219	1.2927250648178	1.14675611481835	105	27
37	1.26139001953973	1.37723203998536	1.21078219016857	108	30
38	1.33964869505326	1.44311815255519	1.2307472497703	111	33
39	NA	NA	NA	114	36
