"Frame"	"Average_mean_Ch1_ratio"	"Average_mean_Ch2_ratio"	"Average_mean_Ch3_ratio"	"Time"	"Time_offset"
1	1.03991452715313	1.065678942908	0.899433111209858	0	-48
2	1.11716422538567	1.13162988281099	0.80493764549228	3	-45
3	0.996409982202315	1.03076917277897	0.899829784152313	6	-42
4	0.926780599009994	0.963136232077117	0.923136080560736	9	-39
5	1.08326145998975	1.08961875902244	0.796058480804196	12	-36
6	0.991257917240592	1.00829735088074	0.778847435604878	15	-33
7	0.996567798379027	1.0356172030659	0.770574627651751	18	-30
8	1.04425952725519	1.04833403901899	0.750801648947349	21	-27
9	1.05006439690067	1.05121322480204	0.693288358672094	24	-24
10	1.12322718896205	1.1381105090325	0.578200331101355	27	-21
11	1.00348714593702	1.0112922284071	0.651566052975593	30	-18
12	1.01227867462989	0.951010173163609	0.703900362742693	33	-15
13	1.08121443508449	0.981667146155392	0.710623215167171	36	-12
14	1.12457568747744	1.01741517420567	0.801264156461187	39	-9
15	1.06776825022926	1.0492305018673	0.712178766255373	42	-6
16	1.02355083332202	1.03077995615883	0.737646492055019	45	-3
17	1.13135249038042	1.08589777375069	0.574724516767178	48	0
18	0.951971485915474	1.08118588041309	0.489381598068481	51	3
19	0.882119531511664	1.08802365840436	0.614207850996454	54	6
20	0.88228974975521	1.11449118066826	0.634034659936739	57	9
21	0.937260314552779	1.2078182567623	0.649018329602555	60	12
22	0.992676334575063	1.22552153514768	0.705405563612566	63	15
