"Frame"	"Average_mean_Ch1"	"Average_mean_Ch2"	"Average_mean_Ch3"	"Time"	"Time_offset"
1	NA	NA	NA	0	-36
2	NA	NA	NA	3	-33
3	NA	NA	NA	6	-30
4	NA	NA	NA	9	-27
5	NA	NA	NA	12	-24
6	NA	NA	NA	15	-21
7	NA	NA	NA	18	-18
8	441.882352941176	946	291.558823529412	21	-15
9	449.333706606943	1003.46668533035	294.799552071669	24	-12
10	439.460676291793	991.121918270855	298.849143026005	27	-9
11	395.7331002331	848.28648018648	308.509324009324	30	-6
12	364.575	753.363111888112	381.091958041958	33	-3
13	355.004649472391	757.586562899466	395.690655939043	36	0
14	370.918087639914	784.445108954513	344.740367604532	39	3
15	374.379897345002	816.916368179412	313.589219994338	42	6
16	402.183013491068	950.888110331917	328.069386236863	45	9
17	383.197967980296	962.939064039409	309.870767651888	48	12
18	373.074048195201	915.598141762452	295.924904214559	51	15
19	360.277157068278	884.044008714597	306.612751264028	54	18
20	356.079545454545	858.237689393939	310.716856060606	57	21
21	384.601938988907	1011.96231132933	316.608962993272	60	24
22	368.524437927664	982.350684261975	299.630498533724	63	27
23	366.130132850242	943.81038647343	305.6663647343	66	30
24	361.409110576613	986.659815383226	304.716790905222	69	33
25	426.063492063492	1243.35615079365	315.753306878307	72	36
26	NA	NA	NA	75	39
27	NA	NA	NA	78	42
28	NA	NA	NA	81	45
