"Frame"	"Average_mean_Ch1"	"Average_mean_Ch2"	"Average_mean_Ch3"	"Time"	"Time_offset"
1	191.625	759.722	309.25	0	-60
2	195.3465	717.3635	337.072	3	-57
3	198.905	826.3645	347.2195	6	-54
4	198.236	728.036	371.2	9	-51
5	196.7005	664.6805	355.8705	12	-48
6	199.535	624.506333333333	330.491	15	-45
7	196.3845	631.812	378.483	18	-42
8	190.321666666667	540.466	354.459666666667	21	-39
9	186.6	548.125666666667	339.681333333333	24	-36
10	187.765	563.641	364.620333333333	27	-33
11	176.246	523.7135	377.918	30	-30
12	198.986	564.5895	439.98	33	-27
13	203.490333333333	606.804666666667	429.748666666667	36	-24
14	202.321666666667	572.323666666667	377.002333333333	39	-21
15	196.5115	526.2725	401.588	42	-18
16	188.944	608.826666666667	404.736666666667	45	-15
17	189.558	703.7	402.937	48	-12
18	200.496666666667	785.157666666667	424.629	51	-9
19	205.627	763.317	456.6295	54	-6
20	206.66	862.9985	345.159	57	-3
21	208.744666666667	864.016333333333	456.664333333333	60	0
22	226.464	1006.0095	387.882	63	3
23	203.1945	1036.6915	398.401	66	6
24	176.0245	1056.669	347.7415	69	9
25	198.733	1018.25	369.4535	72	12
26	215.3695	969.2375	344.7475	75	15
27	248.813	1014.752	431.348	78	18
28	NA	NA	NA	81	21
29	NA	NA	NA	84	24
30	NA	NA	NA	87	27
