"Frame"	"Average_mean_Ch1_ratio"	"Average_mean_Ch2_ratio"	"Average_mean_Ch3_ratio"	"Time"	"Time_offset"
1	1.07610351467987	1.87393159344187	0.780333284030962	0	-60
2	1.05512953039956	1.30262758520857	0.730990523151066	3	-57
3	1.06403855138796	1.59336948134086	0.719413649347188	6	-54
4	1.05531554204023	1.65350508346428	0.67922380840063	9	-51
5	1.02787102199491	1.23633787738388	0.710555583445645	12	-48
6	1.02986167637153	1.28269087777746	0.634583936408133	15	-45
7	1.02069290547452	1.27463927310969	0.729388227316374	18	-42
8	1.01178976477328	1.23703131277667	0.62821109066109	21	-39
9	1.02382511682556	1.1605414874371	0.650178942761352	24	-36
10	1.03018021371256	1.26877884286442	0.694760403902097	27	-33
11	0.994781879210201	1.12647382618231	0.673683123296674	30	-30
12	1.00934943021778	0.961370027073804	0.706416166634928	33	-27
13	0.990956794866687	1.02360476057641	0.754218918255241	36	-24
14	1.00028593465964	0.961821704748504	0.668184762376468	39	-21
15	0.997165618575402	0.957393429722287	0.638007424995193	42	-18
16	1.00321082076652	0.82031224102786	0.620169719342065	45	-15
17	1.01669224730167	0.998673909757108	0.658422595645836	48	-12
18	1.01535003828974	1.19653318531028	0.584769095491605	51	-9
19	1.02102755423008	1.1085330317785	0.629306385553978	54	-6
20	0.993778216054869	1.13013615591202	0.594523073676235	57	-3
21	0.977586870718603	1.07923230443071	0.588840009900659	60	0
22	1.00613056165621	1.07619254887254	0.913120957268018	63	3
23	0.572778003571086	1.18658519484212	0.844161957789282	66	6
24	0.417116698787212	1.11516231781843	0.800585528131253	69	9
25	0.571724684669499	1.10975991552872	0.666082305035584	72	12
26	0.912852221366227	1.18928270186651	0.721078618598125	75	15
27	0.891166737595085	0.833201205821684	0.757707294098972	78	18
28	0.792700891607788	0.786438413080577	0.663131726528714	81	21
29	0.832095804153339	0.775703877714168	0.761489118144938	84	24
30	0.921515443550974	0.837232439167178	1.02063318918378	87	27
